Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1,Accum_y-2,Accum_y-3
192,964,1779,120,255,723,712,451,1097,425,283,219,367,708,485
183,973,1779,96,279,698,718,458,1101,433,283,219,342,749,485
183,973,1778,97,279,663,753,457,1102,433,283,219,391,778,485
183,968,1783,97,279,599,805,467,1104,428,288,211,399,804,489
183,925,1826,97,279,458,861,552,1104,402,314,211,388,982,489
154,941,1841,93,283,458,822,590,1105,402,314,211,358,935,508
155,904,1872,87,295,458,822,590,1105,402,314,211,358,931,510
174,903,1883,95,295,458,822,531,1164,402,314,181,358,910,510
202,708,2057,116,295,458,817,536,1164,364,352,181,358,901,632
202,653,2057,167,299,458,817,536,1164,356,360,102,355,816,672
221,597,1690,579,310,458,817,536,1055,435,390,94,378,692,720
221,380,1871,589,336,458,811,542,1055,435,360,124,378,689,713
221,341,1902,564,369,443,770,598,1055,435,330,154,378,652,765
224,323,1787,698,311,501,639,729,1002,488,287,197,378,652,780
226,308,1792,708,306,505,540,829,1002,488,225,259,378,652,837
226,303,1719,784,293,478,579,832,962,528,154,330,370,652,838
226,303,1719,784,271,500,440,971,860,630,154,330,370,652,743
227,303,1715,788,270,490,401,1021,857,633,144,297,388,652,592
227,292,1654,860,269,490,402,1004,859,648,144,297,375,651,571
224,290,1464,1055,268,237,656,1004,854,611,186,297,312,651,551
221,309,1311,1208,266,239,642,997,812,674,186,297,297,651,548
272,341,1217,1302,266,229,651,977,833,674,186,297,296,632,548
271,343,911,1608,266,229,633,980,811,711,186,297,215,625,545
270,344,860,1659,266,229,633,980,811,698,179,317,219,628,477
253,357,852,1671,266,229,633,854,937,690,187,297,219,782,466
208,357,897,1669,207,245,676,725,1032,726,187,292,219,820,466
208,283,948,1690,126,270,734,710,1032,741,187,292,219,824,462
208,187,1015,1719,124,251,753,705,989,760,218,287,211,824,534
208,178,1006,1737,124,251,753,700,946,754,255,295,211,804,547
205,181,985,1758,124,251,723,728,729,864,364,295,211,797,571
200,186,967,1776,124,251,723,714,735,811,425,283,211,790,600
194,192,964,1779,120,255,723,712,451,1097,425,283,181,807,622
194,183,973,1779,96,279,698,718,458,1101,433,283,181,784,648
194,183,973,1778,97,279,663,753,457,1102,433,283,102,816,654
194,183,968,1783,97,279,599,805,467,1104,428,288,94,821,650
194,183,925,1826,97,279,458,861,552,1104,402,314,124,645,650
192,154,941,1841,93,283,458,822,590,1105,402,314,154,628,631
198,155,904,1872,87,295,458,822,590,1105,402,314,197,688,629
161,174,903,1883,95,295,458,822,531,1164,402,314,259,697,629
133,202,708,2057,116,295,458,817,536,1164,364,352,330,736,507
133,202,653,2057,167,299,458,817,536,1164,356,360,330,739,439
119,221,597,1690,579,310,458,817,536,1055,435,390,297,700,384
119,221,380,1871,589,336,458,811,542,1055,435,360,297,700,388
174,221,341,1902,564,369,443,770,598,1055,435,330,297,725,340
218,224,323,1787,698,311,501,639,729,1002,488,287,297,725,326
238,226,308,1792,708,306,505,540,829,1002,488,225,297,725,258
317,226,303,1719,784,293,478,579,832,962,528,154,297,725,257
317,226,303,1719,784,271,500,440,971,860,630,154,317,731,250
316,227,303,1715,788,270,490,401,1021,857,633,144,297,735,247
316,227,292,1654,860,269,490,402,1004,859,648,144,292,735,247
316,224,290,1464,1055,268,237,656,1004,854,611,186,292,735,247
312,221,309,1311,1208,266,239,642,997,812,674,186,287,735,290
252,272,341,1217,1302,266,229,651,977,833,674,186,295,735,492
318,271,343,911,1608,266,229,633,980,811,711,186,295,735,578
358,270,344,860,1659,266,229,633,980,811,698,179,283,732,578
402,253,357,852,1671,266,229,633,854,937,690,187,283,552,578
423,208,357,897,1669,207,245,676,725,1032,726,187,283,475,578
517,208,283,948,1690,126,270,734,710,1032,741,187,283,471,578
612,208,187,1015,1719,124,251,753,705,989,760,218,288,471,505
690,208,178,1006,1737,124,251,753,700,946,754,255,314,471,492
846,205,181,985,1758,124,251,723,728,729,864,364,314,500,448
915,200,186,967,1776,124,251,723,714,735,811,425,314,373,471
917,194,192,964,1779,120,255,723,712,451,1097,425,314,311,451
917,194,183,973,1779,96,279,698,718,458,1101,433,352,289,479
961,194,183,973,1778,97,279,663,753,457,1102,433,360,228,473
961,194,183,968,1783,97,279,599,805,467,1104,428,390,198,473
1193,194,183,925,1826,97,279,458,861,552,1104,402,360,190,473
1193,192,154,941,1841,93,283,458,822,590,1105,402,330,275,473
1186,198,155,904,1872,87,295,458,822,590,1105,402,287,276,473
1264,161,174,903,1883,95,295,458,822,531,1164,402,225,267,473
1330,133,202,708,2057,116,295,458,817,536,1164,364,154,228,475
1330,133,202,653,2057,167,299,458,817,536,1164,356,154,486,475
1327,119,221,597,1690,579,310,458,817,536,1055,435,144,507,475
1358,119,221,380,1871,589,336,458,811,542,1055,435,144,507,476
1303,174,221,341,1902,564,369,443,770,598,1055,435,186,533,540
1297,218,224,323,1787,698,311,501,639,729,1002,488,186,533,683
1275,238,226,308,1792,708,306,505,540,829,1002,488,186,632,721
1196,317,226,303,1719,784,293,478,579,832,962,528,186,632,776
1196,317,226,303,1719,784,271,500,440,971,860,630,179,626,776
1238,316,227,303,1715,788,270,490,401,1021,857,633,187,627,935
1262,316,227,292,1654,860,269,490,402,1004,859,648,187,627,983
1265,316,224,290,1464,1055,268,237,656,1004,854,611,187,627,983
1260,312,221,309,1311,1208,266,239,642,997,812,674,218,693,945
1238,252,272,341,1217,1302,266,229,651,977,833,674,255,693,743
1182,318,271,343,911,1608,266,229,633,980,811,711,364,693,662
1258,358,270,344,860,1659,266,229,633,980,811,698,425,693,662
1214,402,253,357,852,1671,266,229,633,854,937,690,425,693,703
1193,423,208,357,897,1669,207,245,676,725,1032,726,433,693,703
1099,517,208,283,948,1690,126,270,734,710,1032,741,433,693,703
1004,612,208,187,1015,1719,124,251,753,705,989,760,428,693,703
926,690,208,178,1006,1737,124,251,753,700,946,754,402,765,703
770,846,205,181,985,1758,124,251,723,728,729,864,402,866,709
701,915,200,186,967,1776,124,251,723,714,735,811,402,871,639
700,917,194,192,964,1779,120,255,723,712,451,1097,402,893,648
700,917,194,183,973,1779,96,279,698,718,458,1101,364,972,594
701,961,194,183,973,1778,97,279,663,753,457,1102,356,1100,594
704,961,194,183,968,1783,97,279,599,805,467,1104,435,1106,594
472,1193,194,183,925,1826,97,279,458,861,552,1104,435,1096,594
754,1193,192,154,941,1841,93,283,458,822,590,1105,435,1008,594
772,1186,198,155,904,1872,87,295,458,822,590,1105,488,947,594
695,1264,161,174,903,1883,95,295,458,822,531,1164,488,947,594
708,1330,133,202,708,2057,116,295,458,817,536,1164,528,947,592
750,1330,133,202,653,2057,167,299,458,817,536,1164,630,940,650
748,1327,119,221,597,1690,579,310,458,817,536,1055,633,919,685
717,1358,119,221,380,1871,589,336,458,811,542,1055,648,1062,684
717,1303,174,221,341,1902,564,369,443,770,598,1055,611,1073,661
819,1297,218,224,323,1787,698,311,501,639,729,1002,674,1164,711
822,1275,238,226,308,1792,708,306,505,540,829,1002,674,1100,757
889,1196,317,226,303,1719,784,293,478,579,832,962,711,1129,702
889,1196,317,226,303,1719,784,271,500,440,971,860,698,1129,702
857,1238,316,227,303,1715,788,270,490,401,1021,857,690,1151,543
963,1262,316,227,292,1654,860,269,490,402,1004,859,726,1151,879
960,1265,316,224,290,1464,1055,268,237,656,1004,854,741,1151,879
954,1260,312,221,309,1311,1208,266,239,642,997,812,760,1151,874
970,1238,252,272,341,1217,1302,266,229,651,977,833,754,1151,874
1165,1182,318,271,343,911,1608,266,229,633,980,811,864,1158,869
1083,1258,358,270,344,860,1659,266,229,633,980,811,811,1160,882
1084,1214,402,253,357,852,1671,266,229,633,854,937,1097,1160,889
1084,1193,423,208,357,897,1669,207,245,676,725,1032,1101,1160,889
1152,1099,517,208,283,948,1690,126,270,734,710,1032,1102,1160,889
1152,1004,612,208,187,1015,1719,124,251,753,705,989,1104,1160,889
1152,926,690,208,178,1006,1737,124,251,753,700,946,1104,1088,905
1152,770,846,205,181,985,1758,124,251,723,728,729,1105,958,893
1154,701,915,200,186,967,1776,124,251,723,714,735,1105,953,892
1206,700,917,194,192,964,1779,120,255,723,712,451,1164,931,881
1207,700,917,194,183,973,1779,96,279,698,718,458,1164,852,888
1162,701,961,194,183,973,1778,97,279,663,753,457,1164,724,888
1159,704,961,194,183,968,1783,97,279,599,805,467,1055,716,888
1159,472,1193,194,183,925,1826,97,279,458,861,552,1055,716,888
877,754,1193,192,154,941,1841,93,283,458,822,590,1055,716,888
980,772,1186,198,155,904,1872,87,295,458,822,590,1002,716,888
1038,695,1264,161,174,903,1883,95,295,458,822,531,1002,716,888
961,708,1330,133,202,708,2057,116,295,458,817,536,962,716,898
1062,750,1330,133,202,653,2057,167,299,458,817,536,860,462,892
1071,748,1327,119,221,597,1690,579,310,458,817,536,857,462,896
1074,717,1358,119,221,380,1871,589,336,458,811,542,859,319,933
1159,717,1303,174,221,341,1902,564,369,443,770,598,854,340,888
1215,819,1297,218,224,323,1787,698,311,501,639,729,812,378,694
1508,822,1275,238,226,308,1792,708,306,505,540,829,833,344,655
1592,889,1196,317,226,303,1719,784,293,478,579,832,811,315,750
1614,889,1196,317,226,303,1719,784,271,500,440,971,811,319,750
1609,857,1238,316,227,303,1715,788,270,490,401,1021,937,299,750
1480,963,1262,316,227,292,1654,860,269,490,402,1004,1032,304,366
1480,960,1265,316,224,290,1464,1055,268,237,656,1004,1032,304,471
1479,954,1260,312,221,309,1311,1208,266,239,642,997,989,238,490
1462,970,1238,252,272,341,1217,1302,266,229,651,977,946,238,508
1281,1165,1182,318,271,343,911,1608,266,229,633,980,729,231,511
1247,1083,1258,358,270,344,860,1659,266,229,633,980,735,267,498
1246,1084,1214,402,253,357,852,1671,266,229,633,854,451,272,508
1246,1084,1193,423,208,357,897,1669,207,245,676,725,458,276,705
1178,1152,1099,517,208,283,948,1690,126,270,734,710,457,276,727
1178,1152,1004,612,208,187,1015,1719,124,251,753,705,467,276,727
1360,1152,926,690,208,178,1006,1737,124,251,753,700,552,317,711
1392,1152,770,846,205,181,985,1758,124,251,723,728,590,317,749
1390,1154,701,915,200,186,967,1776,124,251,723,714,590,447,749
1375,1206,700,917,194,192,964,1779,120,255,723,712,531,468,754
1374,1207,700,917,194,183,973,1779,96,279,698,718,536,468,747
1398,1162,701,961,194,183,973,1778,97,279,663,753,536,471,747
1399,1159,704,961,194,183,968,1783,97,279,599,805,536,471,747
1399,1159,472,1193,194,183,925,1826,97,279,458,861,542,494,786
1402,877,754,1193,192,154,941,1841,93,283,458,822,598,494,786
1392,980,772,1186,198,155,904,1872,87,295,458,822,729,536,786
1339,1038,695,1264,161,174,903,1883,95,295,458,822,829,597,786
1340,961,708,1330,133,202,708,2057,116,295,458,817,832,597,776
1197,1062,750,1330,133,202,653,2057,167,299,458,817,971,597,743
1194,1071,748,1327,119,221,597,1690,579,310,458,817,1021,605,704
1191,1074,717,1358,119,221,380,1871,589,336,458,811,1004,605,663
1106,1159,717,1303,174,221,341,1902,564,369,443,770,1004,522,832
906,1215,819,1297,218,224,323,1787,698,311,501,639,997,433,855
610,1508,822,1275,238,226,308,1792,708,306,505,540,977,777,810
459,1592,889,1196,317,226,303,1719,784,293,478,579,980,777,935
443,1614,889,1196,317,226,303,1719,784,271,500,440,980,885,935
438,1609,857,1238,316,227,303,1715,788,270,490,401,854,1024,935
437,1480,963,1262,316,227,292,1654,860,269,490,402,725,1110,935
437,1480,960,1265,316,224,290,1464,1055,268,237,656,710,1225,830
437,1479,954,1260,312,221,309,1311,1208,266,239,642,705,1237,811
445,1462,970,1238,252,272,341,1217,1302,266,229,651,700,1237,793
551,1281,1165,1182,318,271,343,911,1608,266,229,633,728,1237,790
551,1247,1083,1258,358,270,344,860,1659,266,229,633,714,1199,793
604,1246,1084,1214,402,253,357,852,1671,266,229,633,712,1196,735
605,1246,1084,1193,423,208,357,897,1669,207,245,676,718,1302,538
608,1178,1152,1099,517,208,283,948,1690,126,270,734,753,1326,516
608,1178,1152,1004,612,208,187,1015,1719,124,251,753,805,1326,533
426,1360,1152,926,690,208,178,1006,1737,124,251,753,861,1474,533
394,1392,1152,770,846,205,181,985,1758,124,251,723,822,1829,495
395,1390,1154,701,915,200,186,967,1776,124,251,723,822,1722,495
357,1375,1206,700,917,194,192,964,1779,120,255,723,822,1777,490
421,1374,1207,700,917,194,183,973,1779,96,279,698,817,1787,490
397,1398,1162,701,961,194,183,973,1778,97,279,663,817,1784,490
396,1399,1159,704,961,194,183,968,1783,97,279,599,817,1784,591
396,1399,1159,472,1193,194,183,925,1826,97,279,458,811,1761,552
407,1402,877,754,1193,192,154,941,1841,93,283,458,770,1761,626
296,1392,980,772,1186,198,155,904,1872,87,295,458,639,1719,816
290,1339,1038,695,1264,161,174,903,1883,95,295,458,540,1658,819
287,1340,961,708,1330,133,202,708,2057,116,295,458,579,1696,819
287,1197,1062,750,1330,133,202,653,2057,167,299,458,440,1877,800
281,1194,1071,748,1327,119,221,597,1690,579,310,458,401,1921,800
281,1191,1074,717,1358,119,221,380,1871,589,336,458,402,1922,800
281,1106,1159,717,1303,174,221,341,1902,564,369,443,656,1922,631
342,906,1215,819,1297,218,224,323,1787,698,311,501,642,1882,608
383,610,1508,822,1275,238,226,308,1792,708,306,505,651,1565,608
383,459,1592,889,1196,317,226,303,1719,784,293,478,633,1565,389
390,443,1614,889,1196,317,226,303,1719,784,271,500,633,1453,482
410,438,1609,857,1238,316,227,303,1715,788,270,490,633,1379,482
454,437,1480,963,1262,316,227,292,1654,860,269,490,676,1376,482
454,437,1480,960,1265,316,224,290,1464,1055,268,237,734,1261,482
454,437,1479,954,1260,312,221,309,1311,1208,266,239,753,1249,482
446,445,1462,970,1238,252,272,341,1217,1302,266,229,753,1249,482
315,551,1281,1165,1182,318,271,343,911,1608,266,229,723,1249,576
335,551,1247,1083,1258,358,270,344,860,1659,266,229,723,1249,573
323,604,1246,1084,1214,402,253,357,852,1671,266,229,723,1247,573
322,605,1246,1084,1193,423,208,357,897,1669,207,245,698,1206,573
349,608,1178,1152,1099,517,208,283,948,1690,126,270,663,1386,573
418,608,1178,1152,1004,612,208,187,1015,1719,124,251,599,1387,556
667,426,1360,1152,926,690,208,178,1006,1737,124,251,458,1212,556
728,394,1392,1152,770,846,205,181,985,1758,124,251,458,858,556
763,395,1390,1154,701,915,200,186,967,1776,124,251,458,839,556
763,357,1375,1206,700,917,194,192,964,1779,120,255,458,763,556
699,421,1374,1207,700,917,194,183,973,1779,96,279,458,812,556
706,397,1398,1162,701,961,194,183,973,1778,97,279,458,825,556
767,396,1399,1159,704,961,194,183,968,1783,97,279,458,959,455
962,396,1399,1159,472,1193,194,183,925,1826,97,279,458,959,455
951,407,1402,877,754,1193,192,154,941,1841,93,283,443,959,381
986,296,1392,980,772,1186,198,155,904,1872,87,295,501,988,396
1014,290,1339,1038,695,1264,161,174,903,1883,95,295,505,989,432
1034,287,1340,961,708,1330,133,202,708,2057,116,295,478,951,458
1040,287,1197,1062,750,1330,133,202,653,2057,167,299,500,770,476
1040,281,1194,1071,748,1327,119,221,597,1690,579,310,490,718,476
1066,281,1191,1074,717,1358,119,221,380,1871,589,336,490,717,568
1184,281,1106,1159,717,1303,174,221,341,1902,564,369,237,717,694
1170,342,906,1215,819,1297,218,224,323,1787,698,311,239,717,740
1373,383,610,1508,822,1275,238,226,308,1792,708,306,229,689,740
1402,383,459,1592,889,1196,317,226,303,1719,784,293,229,689,739
1397,390,443,1614,889,1196,317,226,303,1719,784,271,229,720,646
1380,410,438,1609,857,1238,316,227,303,1715,788,270,229,722,648
1336,454,437,1480,963,1262,316,227,292,1654,860,269,245,634,650
1336,454,437,1480,960,1265,316,224,290,1464,1055,268,270,634,650
1336,454,437,1479,954,1260,312,221,309,1311,1208,266,251,727,650
1336,446,445,1462,970,1238,252,272,341,1217,1302,266,251,762,650
1336,315,551,1281,1165,1182,318,271,343,911,1608,266,251,762,556
1316,335,551,1247,1083,1258,358,270,344,860,1659,266,251,762,556
1275,323,604,1246,1084,1214,402,253,357,852,1671,266,255,799,558
1275,322,605,1246,1084,1193,423,208,357,897,1669,207,279,730,600
1248,349,608,1178,1152,1099,517,208,283,948,1690,126,279,526,605
1180,418,608,1178,1152,1004,612,208,187,1015,1719,124,279,525,605
931,667,426,1360,1152,926,690,208,178,1006,1737,124,279,512,605
882,728,394,1392,1152,770,846,205,181,985,1758,124,283,511,605
896,763,395,1390,1154,701,915,200,186,967,1776,124,295,507,605
896,763,357,1375,1206,700,917,194,192,964,1779,120,295,523,605
896,699,421,1374,1207,700,917,194,183,973,1779,96,295,531,605
1043,706,397,1398,1162,701,961,194,183,973,1778,97,299,518,639
1121,767,396,1399,1159,704,961,194,183,968,1783,97,310,385,684
947,962,396,1399,1159,472,1193,194,183,925,1826,97,336,406,761
977,951,407,1402,877,754,1193,192,154,941,1841,93,369,423,942
942,986,296,1392,980,772,1186,198,155,904,1872,87,311,394,771
927,1014,290,1339,1038,695,1264,161,174,903,1883,95,306,519,740
907,1034,287,1340,961,708,1330,133,202,708,2057,116,293,627,806
901,1040,287,1197,1062,750,1330,133,202,653,2057,167,271,708,788
990,1040,281,1194,1071,748,1327,119,221,597,1690,579,270,804,845
964,1066,281,1191,1074,717,1358,119,221,380,1871,589,269,858,797
846,1184,281,1106,1159,717,1303,174,221,341,1902,564,268,1013,671
799,1170,342,906,1215,819,1297,218,224,323,1787,698,266,1046,628
555,1373,383,610,1508,822,1275,238,226,308,1792,708,266,1134,629
526,1402,383,459,1592,889,1196,317,226,303,1719,784,266,1138,639
518,1397,390,443,1614,889,1196,317,226,303,1719,784,266,1108,642
515,1380,410,438,1609,857,1238,316,227,303,1715,788,266,1034,802
528,1336,454,437,1480,963,1262,316,227,292,1654,860,207,1034,955
528,1336,454,437,1480,960,1265,316,224,290,1464,1055,126,1035,955
528,1336,454,437,1479,954,1260,312,221,309,1311,1208,124,944,955
544,1336,446,445,1462,970,1238,252,272,341,1217,1302,124,909,955
545,1336,315,551,1281,1165,1182,318,271,343,911,1608,124,909,955
545,1316,335,551,1247,1083,1258,358,270,344,860,1659,124,924,959
545,1275,323,604,1246,1084,1214,402,253,357,852,1671,120,888,1143
545,1275,322,605,1246,1084,1193,423,208,357,897,1669,96,888,1155
668,1248,349,608,1178,1152,1099,517,208,283,948,1690,97,890,1187
670,1180,418,608,1178,1152,1004,612,208,187,1015,1719,97,891,1189
670,931,667,426,1360,1152,926,690,208,178,1006,1737,97,893,1349
658,882,728,394,1392,1152,770,846,205,181,985,1758,93,893,1453
608,896,763,395,1390,1154,701,915,200,186,967,1776,87,930,1547
690,896,763,357,1375,1206,700,917,194,192,964,1779,95,915,1547
693,896,699,421,1374,1207,700,917,194,183,973,1779,116,848,1558
562,1043,706,397,1398,1162,701,961,194,183,973,1778,167,850,1538
504,1121,767,396,1399,1159,704,961,194,183,968,1783,579,849,1549
511,947,962,396,1399,1159,472,1193,194,183,925,1826,589,832,1473
478,977,951,407,1402,877,754,1193,192,154,941,1841,564,820,1367
491,942,986,296,1392,980,772,1186,198,155,904,1872,698,821,1388
478,927,1014,290,1339,1038,695,1264,161,174,903,1883,708,722,1416
497,907,1034,287,1340,961,708,1330,133,202,708,2057,784,754,1408
513,901,1040,287,1197,1062,750,1330,133,202,653,2057,784,702,1425
424,990,1040,281,1194,1071,748,1327,119,221,597,1690,788,612,1467
424,964,1066,281,1191,1074,717,1358,119,221,380,1871,860,559,1437
425,846,1184,281,1106,1159,717,1303,174,221,341,1902,1055,410,1438
573,799,1170,342,906,1215,819,1297,218,224,323,1787,1208,388,1438
693,555,1373,383,610,1508,822,1275,238,226,308,1792,1302,306,1437
778,526,1402,383,459,1592,889,1196,317,226,303,1719,1608,302,1427
936,518,1397,390,443,1614,889,1196,317,226,303,1719,1659,332,1424
937,515,1380,410,438,1609,857,1238,316,227,303,1715,1671,347,1262
925,528,1336,454,437,1480,963,1262,316,227,292,1654,1669,377,1107
989,528,1336,454,437,1480,960,1265,316,224,290,1464,1690,480,1112
1032,528,1336,454,437,1479,954,1260,312,221,309,1311,1719,495,1119
1146,544,1336,446,445,1462,970,1238,252,272,341,1217,1737,577,1143
1162,545,1336,315,551,1281,1165,1182,318,271,343,911,1758,717,1316
1162,545,1316,335,551,1247,1083,1258,358,270,344,860,1776,809,1323
1289,545,1275,323,604,1246,1084,1214,402,253,357,852,1779,883,1214
1352,545,1275,322,605,1246,1084,1193,423,208,357,897,1779,884,1217
1460,668,1248,349,608,1178,1152,1099,517,208,283,948,1778,882,1180
1491,670,1180,418,608,1178,1152,1004,612,208,187,1015,1783,883,1209
1493,670,931,667,426,1360,1152,926,690,208,178,1006,1826,887,1049
1533,658,882,728,394,1392,1152,770,846,205,181,985,1841,889,1079
1533,608,896,763,395,1390,1154,701,915,200,186,967,1872,852,1040
1452,690,896,763,357,1375,1206,700,917,194,192,964,1883,851,1127
