Accum_y-0,T-1,Accum_y-1,Accum_y-2
297,378,725,258
297,370,725,257
317,370,731,250
297,388,735,247
292,375,735,247
292,312,735,247
287,297,735,290
295,296,735,492
295,215,735,578
283,219,732,578
283,219,552,578
283,219,475,578
283,219,471,578
288,211,471,505
314,211,471,492
314,211,500,448
314,211,373,471
314,181,311,451
352,181,289,479
360,102,228,473
390,94,198,473
360,124,190,473
330,154,275,473
287,197,276,473
225,259,267,473
154,330,228,475
154,330,486,475
144,297,507,475
144,297,507,476
186,297,533,540
186,297,533,683
186,297,632,721
186,297,632,776
179,317,626,776
187,297,627,935
187,292,627,983
187,292,627,983
218,287,693,945
255,295,693,743
364,295,693,662
425,283,693,662
425,283,693,703
433,283,693,703
433,283,693,703
428,288,693,703
402,314,765,703
402,314,866,709
402,314,871,639
402,314,893,648
364,352,972,594
356,360,1100,594
435,390,1106,594
435,360,1096,594
435,330,1008,594
488,287,947,594
488,225,947,594
528,154,947,592
630,154,940,650
633,144,919,685
648,144,1062,684
611,186,1073,661
674,186,1164,711
674,186,1100,757
711,186,1129,702
698,179,1129,702
690,187,1151,543
726,187,1151,879
741,187,1151,879
760,218,1151,874
754,255,1151,874
864,364,1158,869
811,425,1160,882
1097,425,1160,889
1101,433,1160,889
1102,433,1160,889
1104,428,1160,889
1104,402,1088,905
1105,402,958,893
1105,402,953,892
1164,402,931,881
1164,364,852,888
1164,356,724,888
1055,435,716,888
1055,435,716,888
1055,435,716,888
1002,488,716,888
1002,488,716,888
962,528,716,898
860,630,462,892
857,633,462,896
859,648,319,933
854,611,340,888
812,674,378,694
833,674,344,655
811,711,315,750
811,698,319,750
937,690,299,750
1032,726,304,366
1032,741,304,471
989,760,238,490
946,754,238,508
729,864,231,511
735,811,267,498
451,1097,272,508
458,1101,276,705
457,1102,276,727
467,1104,276,727
552,1104,317,711
590,1105,317,749
590,1105,447,749
531,1164,468,754
536,1164,468,747
536,1164,471,747
536,1055,471,747
542,1055,494,786
598,1055,494,786
729,1002,536,786
829,1002,597,786
832,962,597,776
971,860,597,743
1021,857,605,704
1004,859,605,663
1004,854,522,832
997,812,433,855
977,833,777,810
980,811,777,935
980,811,885,935
854,937,1024,935
725,1032,1110,935
710,1032,1225,830
705,989,1237,811
700,946,1237,793
728,729,1237,790
714,735,1199,793
712,451,1196,735
718,458,1302,538
753,457,1326,516
805,467,1326,533
861,552,1474,533
822,590,1829,495
822,590,1722,495
822,531,1777,490
817,536,1787,490
817,536,1784,490
817,536,1784,591
811,542,1761,552
770,598,1761,626
639,729,1719,816
540,829,1658,819
579,832,1696,819
440,971,1877,800
401,1021,1921,800
402,1004,1922,800
656,1004,1922,631
642,997,1882,608
651,977,1565,608
633,980,1565,389
633,980,1453,482
633,854,1379,482
676,725,1376,482
734,710,1261,482
753,705,1249,482
753,700,1249,482
723,728,1249,576
723,714,1249,573
723,712,1247,573
698,718,1206,573
663,753,1386,573
599,805,1387,556
458,861,1212,556
458,822,858,556
458,822,839,556
458,822,763,556
458,817,812,556
458,817,825,556
458,817,959,455
458,811,959,455
443,770,959,381
501,639,988,396
505,540,989,432
478,579,951,458
500,440,770,476
490,401,718,476
490,402,717,568
237,656,717,694
239,642,717,740
229,651,689,740
229,633,689,739
229,633,720,646
229,633,722,648
245,676,634,650
270,734,634,650
251,753,727,650
251,753,762,650
251,723,762,556
251,723,762,556
255,723,799,558
279,698,730,600
279,663,526,605
279,599,525,605
279,458,512,605
283,458,511,605
295,458,507,605
295,458,523,605
295,458,531,605
299,458,518,639
310,458,385,684
336,458,406,761
369,443,423,942
311,501,394,771
306,505,519,740
293,478,627,806
271,500,708,788
270,490,804,845
269,490,858,797
268,237,1013,671
266,239,1046,628
266,229,1134,629
266,229,1138,639
266,229,1108,642
266,229,1034,802
207,245,1034,955
126,270,1035,955
124,251,944,955
124,251,909,955
124,251,909,955
124,251,924,959
120,255,888,1143
96,279,888,1155
97,279,890,1187
97,279,891,1189
97,279,893,1349
93,283,893,1453
87,295,930,1547
95,295,915,1547
116,295,848,1558
167,299,850,1538
579,310,849,1549
589,336,832,1473
564,369,820,1367
698,311,821,1388
708,306,722,1416
784,293,754,1408
784,271,702,1425
788,270,612,1467
860,269,559,1437
1055,268,410,1438
1208,266,388,1438
1302,266,306,1437
1608,266,302,1427
1659,266,332,1424
1671,266,347,1262
1669,207,377,1107
1690,126,480,1112
1719,124,495,1119
1737,124,577,1143
1758,124,717,1316
1776,124,809,1323
1779,120,883,1214
1779,96,884,1217
1778,97,882,1180
1783,97,883,1209
1826,97,887,1049
1841,93,889,1079
1872,87,852,1040
1883,95,851,1127
2057,116,901,1119
2057,167,1010,1106
1690,579,1092,1050
1871,589,1091,1049
1902,564,1086,974
1787,698,1314,919
1792,708,1335,886
1719,784,1203,802
1719,784,1293,798
1715,788,1287,706
1654,860,1306,692
1464,1055,1325,691
1311,1208,1365,709
1217,1302,1364,709
911,1608,1415,709
860,1659,1384,774
852,1671,1369,845
897,1669,1359,845
948,1690,1255,840
1015,1719,1248,833
1006,1737,1166,815
985,1758,1026,645
967,1776,919,634
964,1779,844,602
973,1779,868,549
973,1778,898,549
968,1783,896,519
925,1826,900,535
941,1841,928,468
904,1872,928,417
903,1883,928,351
708,2057,878,357
653,2057,770,441
597,1690,708,604
380,1871,705,607
341,1902,705,644
323,1787,476,644
308,1792,428,641
303,1719,428,641
303,1719,309,628
303,1715,311,621
292,1654,309,622
290,1464,347,622
309,1311,316,601
341,1217,321,620
343,911,351,627
344,860,359,562
357,852,359,517
357,897,339,556
283,948,339,556
187,1015,337,556
178,1006,337,570
181,985,337,574
186,967,337,708
192,964,367,708
183,973,342,749
183,973,391,778
183,968,399,804
183,925,388,982
154,941,358,935
155,904,358,931
174,903,358,910
202,708,358,901
202,653,355,816
221,597,378,692
221,380,378,689
221,341,378,652
224,323,378,652
226,308,378,652
226,303,370,652
226,303,370,652
227,303,388,652
227,292,375,651
224,290,312,651
221,309,297,651
272,341,296,632
271,343,215,625
270,344,219,628
253,357,219,782
208,357,219,820
208,283,219,824
208,187,211,824
208,178,211,804
205,181,211,797
200,186,211,790
194,192,181,807
194,183,181,784
194,183,102,816
194,183,94,821
194,183,124,645
192,154,154,628
198,155,197,688
161,174,259,697
133,202,330,736
133,202,330,739
119,221,297,700
119,221,297,700
174,221,297,725
218,224,297,725
238,226,297,725
317,226,297,725
317,226,317,731
316,227,297,735
316,227,292,735
316,224,292,735
312,221,287,735
252,272,295,735
318,271,295,735
358,270,283,732
402,253,283,552
423,208,283,475
517,208,283,471
612,208,288,471
690,208,314,471
846,205,314,500
915,200,314,373
917,194,314,311
917,194,352,289
961,194,360,228
961,194,390,198
1193,194,360,190
1193,192,330,275
1186,198,287,276
1264,161,225,267
1330,133,154,228
1330,133,154,486
1327,119,144,507
1358,119,144,507
1303,174,186,533
1297,218,186,533
1275,238,186,632
1196,317,186,632
1196,317,179,626
1238,316,187,627
1262,316,187,627
1265,316,187,627
1260,312,218,693
1238,252,255,693
1182,318,364,693
1258,358,425,693
1214,402,425,693
1193,423,433,693
1099,517,433,693
1004,612,428,693
926,690,402,765
770,846,402,866
701,915,402,871
700,917,402,893
700,917,364,972
701,961,356,1100
704,961,435,1106
472,1193,435,1096
754,1193,435,1008
772,1186,488,947
695,1264,488,947
708,1330,528,947
750,1330,630,940
748,1327,633,919
717,1358,648,1062
717,1303,611,1073
819,1297,674,1164
822,1275,674,1100
889,1196,711,1129
889,1196,698,1129
857,1238,690,1151
963,1262,726,1151
960,1265,741,1151
954,1260,760,1151
970,1238,754,1151
1165,1182,864,1158
1083,1258,811,1160
1084,1214,1097,1160
1084,1193,1101,1160
1152,1099,1102,1160
1152,1004,1104,1160
1152,926,1104,1088
1152,770,1105,958
1154,701,1105,953
1206,700,1164,931
1207,700,1164,852
1162,701,1164,724
1159,704,1055,716
1159,472,1055,716
877,754,1055,716
980,772,1002,716
1038,695,1002,716
961,708,962,716
1062,750,860,462
1071,748,857,462
1074,717,859,319
1159,717,854,340
1215,819,812,378
1508,822,833,344
1592,889,811,315
1614,889,811,319
1609,857,937,299
1480,963,1032,304
1480,960,1032,304
1479,954,989,238
1462,970,946,238
1281,1165,729,231
1247,1083,735,267
1246,1084,451,272
1246,1084,458,276
1178,1152,457,276
1178,1152,467,276
1360,1152,552,317
1392,1152,590,317
1390,1154,590,447
1375,1206,531,468
1374,1207,536,468
1398,1162,536,471
1399,1159,536,471
1399,1159,542,494
1402,877,598,494
1392,980,729,536
1339,1038,829,597
1340,961,832,597
1197,1062,971,597
1194,1071,1021,605
1191,1074,1004,605
1106,1159,1004,522
906,1215,997,433
610,1508,977,777
459,1592,980,777
443,1614,980,885
438,1609,854,1024
437,1480,725,1110
437,1480,710,1225
437,1479,705,1237
445,1462,700,1237
551,1281,728,1237
551,1247,714,1199
604,1246,712,1196
605,1246,718,1302
608,1178,753,1326
608,1178,805,1326
426,1360,861,1474
394,1392,822,1829
395,1390,822,1722
357,1375,822,1777
421,1374,817,1787
397,1398,817,1784
396,1399,817,1784
396,1399,811,1761
407,1402,770,1761
296,1392,639,1719
290,1339,540,1658
287,1340,579,1696
287,1197,440,1877
281,1194,401,1921
281,1191,402,1922
281,1106,656,1922
342,906,642,1882
383,610,651,1565
383,459,633,1565
390,443,633,1453
410,438,633,1379
454,437,676,1376
454,437,734,1261
454,437,753,1249
446,445,753,1249
315,551,723,1249
335,551,723,1249
323,604,723,1247
322,605,698,1206
349,608,663,1386
418,608,599,1387
667,426,458,1212
728,394,458,858
763,395,458,839
763,357,458,763
699,421,458,812
706,397,458,825
767,396,458,959
962,396,458,959
951,407,443,959
986,296,501,988
1014,290,505,989
1034,287,478,951
1040,287,500,770
1040,281,490,718
1066,281,490,717
1184,281,237,717
1170,342,239,717
1373,383,229,689
1402,383,229,689
1397,390,229,720
1380,410,229,722
1336,454,245,634
1336,454,270,634
1336,454,251,727
1336,446,251,762
1336,315,251,762
1316,335,251,762
1275,323,255,799
1275,322,279,730
1248,349,279,526
1180,418,279,525
931,667,279,512
882,728,283,511
896,763,295,507
896,763,295,523
896,699,295,531
1043,706,299,518
1121,767,310,385
947,962,336,406
977,951,369,423
942,986,311,394
927,1014,306,519
907,1034,293,627
901,1040,271,708
990,1040,270,804
964,1066,269,858
846,1184,268,1013
799,1170,266,1046
555,1373,266,1134
526,1402,266,1138
518,1397,266,1108
515,1380,266,1034
528,1336,207,1034
528,1336,126,1035
528,1336,124,944
544,1336,124,909
545,1336,124,909
545,1316,124,924
545,1275,120,888
545,1275,96,888
668,1248,97,890
670,1180,97,891
670,931,97,893
658,882,93,893
608,896,87,930
690,896,95,915
693,896,116,848
562,1043,167,850
504,1121,579,849
511,947,589,832
478,977,564,820
491,942,698,821
478,927,708,722
497,907,784,754
513,901,784,702
424,990,788,612
424,964,860,559
425,846,1055,410
573,799,1208,388
693,555,1302,306
778,526,1608,302
936,518,1659,332
937,515,1671,347
925,528,1669,377
989,528,1690,480
1032,528,1719,495
1146,544,1737,577
1162,545,1758,717
1162,545,1776,809
1289,545,1779,883
1352,545,1779,884
1460,668,1778,882
1491,670,1783,883
1493,670,1826,887
1533,658,1841,889
1533,608,1872,852
1452,690,1883,851
