Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,Accum_y-1
518,1397,390,443,1614,889,1196,317,226,303,1719,266
515,1380,410,438,1609,857,1238,316,227,303,1715,266
528,1336,454,437,1480,963,1262,316,227,292,1654,207
528,1336,454,437,1480,960,1265,316,224,290,1464,126
528,1336,454,437,1479,954,1260,312,221,309,1311,124
544,1336,446,445,1462,970,1238,252,272,341,1217,124
545,1336,315,551,1281,1165,1182,318,271,343,911,124
545,1316,335,551,1247,1083,1258,358,270,344,860,124
545,1275,323,604,1246,1084,1214,402,253,357,852,120
545,1275,322,605,1246,1084,1193,423,208,357,897,96
668,1248,349,608,1178,1152,1099,517,208,283,948,97
670,1180,418,608,1178,1152,1004,612,208,187,1015,97
670,931,667,426,1360,1152,926,690,208,178,1006,97
658,882,728,394,1392,1152,770,846,205,181,985,93
608,896,763,395,1390,1154,701,915,200,186,967,87
690,896,763,357,1375,1206,700,917,194,192,964,95
693,896,699,421,1374,1207,700,917,194,183,973,116
562,1043,706,397,1398,1162,701,961,194,183,973,167
504,1121,767,396,1399,1159,704,961,194,183,968,579
511,947,962,396,1399,1159,472,1193,194,183,925,589
478,977,951,407,1402,877,754,1193,192,154,941,564
491,942,986,296,1392,980,772,1186,198,155,904,698
478,927,1014,290,1339,1038,695,1264,161,174,903,708
497,907,1034,287,1340,961,708,1330,133,202,708,784
513,901,1040,287,1197,1062,750,1330,133,202,653,784
424,990,1040,281,1194,1071,748,1327,119,221,597,788
424,964,1066,281,1191,1074,717,1358,119,221,380,860
425,846,1184,281,1106,1159,717,1303,174,221,341,1055
573,799,1170,342,906,1215,819,1297,218,224,323,1208
693,555,1373,383,610,1508,822,1275,238,226,308,1302
778,526,1402,383,459,1592,889,1196,317,226,303,1608
936,518,1397,390,443,1614,889,1196,317,226,303,1659
937,515,1380,410,438,1609,857,1238,316,227,303,1671
925,528,1336,454,437,1480,963,1262,316,227,292,1669
989,528,1336,454,437,1480,960,1265,316,224,290,1690
1032,528,1336,454,437,1479,954,1260,312,221,309,1719
1146,544,1336,446,445,1462,970,1238,252,272,341,1737
1162,545,1336,315,551,1281,1165,1182,318,271,343,1758
1162,545,1316,335,551,1247,1083,1258,358,270,344,1776
1289,545,1275,323,604,1246,1084,1214,402,253,357,1779
1352,545,1275,322,605,1246,1084,1193,423,208,357,1779
1460,668,1248,349,608,1178,1152,1099,517,208,283,1778
1491,670,1180,418,608,1178,1152,1004,612,208,187,1783
1493,670,931,667,426,1360,1152,926,690,208,178,1826
1533,658,882,728,394,1392,1152,770,846,205,181,1841
1533,608,896,763,395,1390,1154,701,915,200,186,1872
1452,690,896,763,357,1375,1206,700,917,194,192,1883
