Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
831,1206,1036,527,929,969,358,950,252,329,469,693
740,1294,1039,502,947,976,358,1056,252,329,422,693
706,1328,914,627,946,977,184,1104,252,415,409,693
621,1412,836,705,947,961,118,977,252,417,409,693
621,1412,738,803,924,928,174,977,263,453,409,693
604,1429,709,832,906,927,193,976,265,517,410,693
534,1499,697,757,993,739,381,964,318,526,282,668
510,1523,628,714,1105,490,630,960,340,512,282,654
510,1519,622,707,1122,489,609,889,342,529,282,654
475,1509,591,777,1128,485,613,829,336,527,282,654
475,1499,601,709,1196,421,677,818,336,523,285,654
475,1315,707,704,1279,416,682,815,323,523,282,654
475,1308,706,706,1278,423,682,823,302,436,282,653
475,1281,704,735,1278,422,683,846,302,435,282,653
475,1146,801,731,1320,422,683,856,302,435,282,585
475,1031,914,698,1292,485,683,915,342,435,282,646
475,1008,930,704,1293,485,683,922,383,435,282,706
469,870,1066,712,1213,565,683,922,383,443,282,708
419,920,1066,712,1198,580,683,922,406,472,282,530
384,955,1066,668,1242,580,683,922,470,515,282,433
347,992,988,746,1194,628,680,877,476,446,282,330
347,992,830,904,1186,636,680,906,476,412,283,271
132,1207,775,959,1127,695,655,906,460,514,284,267
128,1211,720,1014,1045,697,715,906,463,510,284,267
107,1219,732,1015,947,758,747,736,455,510,284,267
102,1224,732,1015,918,782,752,653,564,510,202,267
102,1179,777,1015,892,776,784,682,568,510,287,295
102,1076,880,1015,633,885,934,635,545,542,299,328
83,976,999,1015,606,851,995,598,551,563,326,393
136,972,1016,1015,529,927,990,528,500,569,370,405
107,954,1042,1036,527,929,977,520,475,569,518,430
66,831,1206,1036,527,929,969,517,475,571,525,465
66,740,1294,1039,502,947,976,382,475,571,432,466
66,706,1328,914,627,946,977,327,545,523,403,498
90,621,1412,836,705,947,961,302,568,538,402,750
92,621,1412,738,803,924,928,317,559,503,402,809
92,604,1429,709,832,906,927,317,565,502,401,818
198,534,1499,697,757,993,739,317,607,694,401,818
279,510,1523,628,714,1105,490,427,590,892,405,818
370,510,1519,622,707,1122,489,432,584,877,413,818
370,475,1509,591,777,1128,485,432,584,877,413,818
398,475,1499,601,709,1196,421,432,584,984,410,820
413,475,1315,707,704,1279,416,557,584,984,452,820
433,475,1308,706,706,1278,423,571,677,992,464,833
444,475,1281,704,735,1278,422,548,766,992,500,869
479,475,1146,801,731,1320,422,538,766,992,500,841
638,475,1031,914,698,1292,485,876,726,992,506,780
724,475,1008,930,704,1293,485,869,685,992,574,720
724,469,870,1066,712,1213,565,908,685,984,821,827
762,419,920,1066,712,1198,580,959,662,955,1091,771
902,384,955,1066,668,1242,580,1144,723,873,1091,711
903,347,992,988,746,1194,628,1191,721,870,1121,711
903,347,992,830,904,1186,636,1160,722,870,1158,727
903,132,1207,775,959,1127,695,1173,737,721,1157,739
903,128,1211,720,1014,1045,697,1197,734,721,1247,745
951,107,1219,732,1015,947,758,1247,733,721,1247,756
1112,102,1224,732,1015,918,782,1385,624,721,1244,767
1159,102,1179,777,1015,892,776,1384,563,721,1123,739
1177,102,1076,880,1015,633,885,1384,563,689,1111,711
1183,83,976,999,1015,606,851,1487,796,668,1179,646
1123,136,972,1016,1015,529,927,1512,796,675,1135,634
1195,107,954,1042,1036,527,929,1428,796,675,956,609
1443,66,831,1206,1036,527,929,1468,796,673,949,574
1443,66,740,1294,1039,502,947,1468,796,707,984,573
1443,66,706,1328,914,627,946,1468,772,669,1005,559
1419,90,621,1412,836,705,947,1470,749,710,1022,382
1417,92,621,1412,738,803,924,1456,740,709,1046,334
1417,92,604,1429,709,832,906,1456,758,640,1046,461
1311,198,534,1499,697,757,993,1456,660,433,1046,461
1261,279,510,1523,628,714,1105,1346,649,224,1131,465
1204,370,510,1519,622,707,1122,1341,649,222,1123,488
1278,370,475,1509,591,777,1128,1341,649,295,1161,504
1250,398,475,1499,601,709,1196,1341,649,208,1161,517
1235,413,475,1315,707,704,1279,1213,649,299,1120,523
1220,433,475,1308,706,706,1278,1191,556,291,1108,510
1237,444,475,1281,704,735,1278,1288,468,291,1240,474
1290,479,475,1146,801,731,1320,1338,468,291,1240,476
1175,638,475,1031,914,698,1292,941,468,291,1234,476
1213,724,475,1008,930,704,1293,941,468,291,1230,476
1267,724,469,870,1066,712,1213,1017,468,305,983,367
1230,762,419,920,1066,712,1198,1114,468,326,713,367
1122,902,384,955,1066,668,1242,929,343,326,713,367
1173,903,347,992,988,746,1194,898,339,327,683,367
1266,903,347,992,830,904,1186,879,338,423,645,351
1383,903,132,1207,775,959,1127,866,323,423,645,339
1425,903,128,1211,720,1014,1045,842,323,444,555,333
1448,951,107,1219,732,1015,947,933,325,444,555,322
1409,1112,102,1224,732,1015,918,803,326,444,555,311
1376,1159,102,1179,777,1015,892,782,326,444,555,311
1399,1177,102,1076,880,1015,633,782,376,444,555,330
1401,1183,83,976,999,1015,606,681,334,444,458,330
1398,1123,136,972,1016,1015,529,656,392,431,484,330
1374,1195,107,954,1042,1036,527,642,456,484,523,340
1320,1443,66,831,1206,1036,527,591,505,587,549,408
1495,1443,66,740,1294,1039,502,591,505,568,537,492
1529,1443,66,706,1328,914,627,591,493,606,611,474
1589,1419,90,621,1412,836,705,608,507,548,594,415
1618,1417,92,621,1412,738,803,624,759,548,570,406
1618,1417,92,604,1429,709,832,625,772,623,570,270
1713,1311,198,534,1499,697,757,629,848,671,570,270
1689,1261,279,510,1523,628,714,629,848,695,481,274
1656,1204,370,510,1519,622,707,629,848,705,481,465
1583,1278,370,475,1509,591,777,629,848,634,443,449
1591,1250,398,475,1499,601,709,629,848,614,443,436
1593,1235,413,475,1315,707,704,629,848,523,442,524
1588,1220,433,475,1308,706,706,629,848,523,442,538
1560,1237,444,475,1281,704,735,532,847,523,274,541
1472,1290,479,475,1146,801,731,482,847,523,281,539
1428,1175,638,475,1031,914,698,482,847,525,281,561
1304,1213,724,475,1008,930,704,482,957,661,217,561
1307,1267,724,469,870,1066,712,367,957,715,217,561
1382,1230,762,419,920,1066,712,219,1024,724,232,561
1417,1122,902,384,955,1066,668,219,1024,776,392,561
1369,1173,903,347,992,988,746,223,1024,775,392,561
1313,1266,903,347,992,830,904,223,1027,679,392,564
1197,1383,903,132,1207,775,959,223,1076,679,396,569
1155,1425,903,128,1211,720,1014,223,1093,681,398,571
1084,1448,951,107,1219,732,1015,82,1091,689,471,571
962,1409,1112,102,1224,732,1015,88,1134,689,493,571
992,1376,1159,102,1179,777,1015,124,1273,689,493,571
995,1399,1177,102,1076,880,1015,124,1657,689,493,547
987,1401,1183,83,976,999,1015,122,1456,689,532,557
984,1398,1123,136,972,1016,1015,122,1398,689,506,598
936,1374,1195,107,954,1042,1036,134,1334,636,467,605
834,1320,1443,66,831,1206,1036,188,1285,533,441,600
659,1495,1443,66,740,1294,1039,222,1286,525,417,555
625,1529,1443,66,706,1328,914,501,1252,506,322,593
565,1589,1419,90,621,1412,836,482,1297,506,322,577
840,1618,1417,92,621,1412,738,465,1045,506,322,594
881,1618,1417,92,604,1429,709,465,1055,454,322,594
810,1713,1311,198,534,1499,697,461,1007,406,322,596
899,1689,1261,279,510,1523,628,475,1007,382,322,622
907,1656,1204,370,510,1519,622,531,1007,499,322,466
906,1583,1278,370,475,1509,591,612,1019,497,322,469
903,1591,1250,398,475,1499,601,617,1032,567,322,467
901,1593,1235,413,475,1315,707,713,1135,654,322,373
901,1588,1220,433,475,1308,706,831,1249,682,322,359
952,1560,1237,444,475,1281,704,832,1249,682,322,356
1009,1472,1290,479,475,1146,801,834,1249,863,315,356
1035,1428,1175,638,475,1031,914,1012,1249,900,494,334
1035,1304,1213,724,475,1008,930,1021,1139,995,623,334
1028,1307,1267,724,469,870,1066,1044,1160,927,623,363
963,1382,1230,762,419,920,1066,1062,1093,1010,608,371
974,1417,1122,902,384,955,1066,1132,1093,982,448,424
1304,1369,1173,903,347,992,988,1113,1093,982,448,427
1268,1313,1266,903,347,992,830,1113,1092,983,448,464
1267,1197,1383,903,132,1207,775,1363,1044,1022,444,542
1267,1155,1425,903,128,1211,720,1469,1087,1097,442,544
1267,1084,1448,951,107,1219,732,1553,1087,1112,369,663
1267,962,1409,1112,102,1224,732,1539,1043,1124,347,956
1223,992,1376,1159,102,1179,777,1666,904,1221,356,967
1179,995,1399,1177,102,1076,880,1748,470,1249,506,1206
1179,987,1401,1183,83,976,999,1748,469,1278,473,1196
1179,984,1398,1123,136,972,1016,1748,469,1278,473,1155
1179,936,1374,1195,107,954,1042,1736,469,1278,473,1138
1087,834,1320,1443,66,831,1206,1682,469,1278,473,1075
1196,659,1495,1443,66,740,1294,1670,468,1271,473,1055
1202,625,1529,1443,66,706,1328,1391,468,1252,473,1043
1207,565,1589,1419,90,621,1412,1391,409,1252,473,1043
912,840,1618,1417,92,621,1412,1391,409,1252,482,1024
871,881,1618,1417,92,604,1429,1390,354,1229,629,1024
847,810,1713,1311,198,534,1499,1390,326,1229,629,1022
751,899,1689,1261,279,510,1523,1376,327,1229,629,989
771,907,1656,1204,370,510,1519,1320,658,1233,658,1126
772,906,1583,1278,370,475,1509,1239,759,1239,658,1123
767,903,1591,1250,398,475,1499,1234,776,1167,658,1123
767,901,1593,1235,413,475,1315,1138,673,1081,658,1123
767,901,1588,1220,433,475,1308,1020,560,1053,658,1123
716,952,1560,1237,444,475,1281,1022,610,1056,658,1123
659,1009,1472,1290,479,475,1146,1020,652,875,658,1123
710,1035,1428,1175,638,475,1031,867,652,836,479,1123
729,1035,1304,1213,724,475,1008,878,652,641,350,1123
679,1028,1307,1267,724,469,870,860,631,641,350,1094
668,963,1382,1230,762,419,920,842,631,539,350,1086
590,974,1417,1122,902,384,955,772,631,518,350,1033
256,1304,1369,1173,903,347,992,771,631,537,382,1144
255,1268,1313,1266,903,347,992,771,629,654,388,1112
312,1267,1197,1383,903,132,1207,527,628,620,388,1029
312,1267,1155,1425,903,128,1211,434,575,562,388,1060
312,1267,1084,1448,951,107,1219,358,575,539,388,1025
479,1267,962,1409,1112,102,1224,358,586,549,390,742
489,1223,992,1376,1159,102,1179,184,596,453,400,731
530,1179,995,1399,1177,102,1076,118,613,427,250,492
530,1179,987,1401,1183,83,976,174,652,456,244,492
530,1179,984,1398,1123,136,972,193,825,456,285,492
544,1179,936,1374,1195,107,954,381,842,456,369,492
549,1087,834,1320,1443,66,831,630,842,456,399,493
440,1196,659,1495,1443,66,740,609,842,456,399,474
434,1202,625,1529,1443,66,706,613,842,509,410,502
429,1207,565,1589,1419,90,621,677,842,512,481,515
420,912,840,1618,1417,92,621,682,842,518,627,515
420,871,881,1618,1417,92,604,682,842,537,517,515
425,847,810,1713,1311,198,534,683,843,551,517,515
476,751,899,1689,1261,279,510,683,842,551,518,514
447,771,907,1656,1204,370,510,683,511,420,491,319
446,772,906,1583,1278,370,475,683,398,414,491,337
446,767,903,1591,1250,398,475,683,368,425,491,340
446,767,901,1593,1235,413,475,683,368,456,491,340
446,767,901,1588,1220,433,475,683,367,478,491,370
446,716,952,1560,1237,444,475,680,317,552,491,496
456,659,1009,1472,1290,479,475,680,275,624,491,550
379,710,1035,1428,1175,638,475,655,280,645,491,581
360,729,1035,1304,1213,724,475,715,323,618,491,581
360,679,1028,1307,1267,724,469,747,383,757,491,596
374,668,963,1382,1230,762,419,752,424,746,491,703
375,590,974,1417,1122,902,384,784,477,743,491,950
375,256,1304,1369,1173,903,347,934,481,724,459,871
375,255,1268,1313,1266,903,347,995,481,643,453,905
318,312,1267,1197,1383,903,132,990,483,638,453,1257
318,312,1267,1155,1425,903,128,977,476,598,453,1400
318,312,1267,1084,1448,951,107,969,476,715,453,1421
151,479,1267,962,1409,1112,102,976,465,713,473,1411
380,489,1223,992,1376,1159,102,977,455,753,471,1412
352,530,1179,995,1399,1177,102,961,438,753,517,1413
352,530,1179,987,1401,1183,83,928,493,695,703,1416
352,530,1179,984,1398,1123,136,927,338,713,671,1465
338,544,1179,936,1374,1195,107,739,402,766,647,1651
333,549,1087,834,1320,1443,66,490,471,839,640,1702
333,440,1196,659,1495,1443,66,489,522,848,640,1720
333,434,1202,625,1529,1443,66,485,547,795,629,1666
406,429,1207,565,1589,1419,90,421,547,834,558,1716
409,420,912,840,1618,1417,92,416,552,828,403,1739
509,420,871,881,1618,1417,92,423,552,810,366,1857
615,425,847,810,1713,1311,198,422,561,842,366,1886
592,476,751,899,1689,1261,279,422,561,852,365,2073
624,447,771,907,1656,1204,370,485,563,852,363,2089
624,446,772,906,1583,1278,370,485,573,854,381,2072
680,446,767,903,1591,1250,398,565,573,843,381,2111
690,446,767,901,1593,1235,413,580,573,811,418,2138
690,446,767,901,1588,1220,433,580,647,789,418,2154
690,446,716,952,1560,1237,444,628,665,715,496,2127
680,456,659,1009,1472,1290,479,636,680,651,555,2080
680,379,710,1035,1428,1175,638,695,675,742,561,2049
826,360,729,1035,1304,1213,724,697,632,733,563,2049
832,360,679,1028,1307,1267,724,758,572,594,563,2034
856,374,668,963,1382,1230,762,782,539,607,563,1984
855,375,590,974,1417,1122,902,776,486,619,565,1742
873,375,256,1304,1369,1173,903,885,482,629,592,1731
873,375,255,1268,1313,1266,903,851,520,592,592,1697
893,318,312,1267,1197,1383,903,927,518,592,624,1406
937,318,312,1267,1155,1425,903,929,542,616,673,1228
946,318,312,1267,1084,1448,951,929,569,499,717,1123
946,151,479,1267,962,1409,1112,947,593,481,695,1132
716,380,489,1223,992,1376,1159,946,593,440,680,1141
707,352,530,1179,995,1399,1177,947,593,438,678,1144
826,352,530,1179,987,1401,1183,924,499,457,501,1209
1158,352,530,1179,984,1398,1123,906,607,452,492,1188
1221,338,544,1179,936,1374,1195,993,619,399,432,1005
1252,333,549,1087,834,1320,1443,1105,666,326,409,953
1270,333,440,1196,659,1495,1443,1122,671,317,409,935
1373,333,434,1202,625,1529,1443,1128,668,317,409,935
1403,406,429,1207,565,1589,1419,1196,668,275,409,872
1452,409,420,912,840,1618,1417,1279,699,275,409,849
1500,509,420,871,881,1618,1417,1278,699,274,409,731
1412,615,425,847,810,1713,1311,1278,689,228,409,702
1394,592,476,751,899,1689,1261,1320,689,218,415,515
1362,624,447,771,907,1656,1204,1292,687,218,433,504
1362,624,446,772,906,1583,1278,1293,677,216,549,504
1306,680,446,767,903,1591,1250,1213,677,216,648,469
1296,690,446,767,901,1593,1235,1198,689,216,612,479
1296,690,446,767,901,1588,1220,1242,680,272,612,437
1296,690,446,716,952,1560,1237,1194,667,356,534,338
1296,680,456,659,1009,1472,1290,1186,660,440,475,331
1296,680,379,710,1035,1428,1175,1127,680,344,477,331
1150,826,360,729,1035,1304,1213,1045,680,344,574,387
1144,832,360,679,1028,1307,1267,947,680,344,587,412
1106,856,374,668,963,1382,1230,918,672,346,587,511
1106,855,375,590,974,1417,1122,892,672,365,608,509
1088,873,375,256,1304,1369,1173,633,672,402,581,524
1088,873,375,255,1268,1313,1266,606,634,419,585,530
1090,893,318,312,1267,1197,1383,529,642,419,553,572
1047,937,318,312,1267,1155,1425,527,645,395,588,619
1040,946,318,312,1267,1084,1448,527,629,411,567,624
1108,946,151,479,1267,962,1409,502,606,411,567,758
1111,716,380,489,1223,992,1376,627,640,411,565,841
1108,707,352,530,1179,995,1399,705,704,433,521,875
989,826,352,530,1179,987,1401,803,721,441,521,1048
657,1158,352,530,1179,984,1398,832,595,428,522,1354
610,1221,338,544,1179,936,1374,757,502,433,522,1398
580,1252,333,549,1087,834,1320,714,386,433,522,1532
667,1270,333,440,1196,659,1495,707,336,485,538,1532
588,1373,333,434,1202,625,1529,777,314,485,576,1532
546,1403,406,429,1207,565,1589,709,314,486,577,1532
497,1452,409,420,912,840,1618,704,278,517,660,1532
389,1500,509,420,871,881,1618,706,278,517,683,1532
367,1412,615,425,847,810,1713,735,278,532,703,1532
411,1394,592,476,751,899,1689,731,319,538,901,1532
430,1362,624,447,771,907,1656,698,319,578,1050,1527
430,1362,624,446,772,906,1583,704,319,578,1017,1528
434,1306,680,446,767,903,1591,712,319,578,985,1521
448,1296,690,446,767,901,1593,712,307,578,1026,1493
534,1296,690,446,767,901,1588,668,247,522,1079,1489
654,1296,690,446,716,952,1560,746,374,515,1118,1489
683,1296,680,456,659,1009,1472,904,374,513,1127,1489
690,1296,680,379,710,1035,1428,959,354,506,1179,1517
694,1150,826,360,729,1035,1304,1014,380,650,1086,1506
748,1144,832,360,679,1028,1307,1015,387,650,1073,1500
803,1106,856,374,668,963,1382,1015,387,635,1073,1372
803,1106,855,375,590,974,1417,1015,387,608,1050,1371
815,1088,873,375,256,1304,1369,1015,387,562,1072,1332
815,1088,873,375,255,1268,1313,1015,391,545,1080,1318
793,1090,893,318,312,1267,1197,1015,384,545,1102,1241
792,1047,937,318,312,1267,1155,1036,357,545,1026,1213
790,1040,946,318,312,1267,1084,1036,346,530,1016,1279
722,1108,946,151,479,1267,962,1039,345,528,1017,1151
746,1111,716,380,489,1223,992,914,311,530,1017,1058
780,1108,707,352,530,1179,995,836,247,525,1049,1020
991,989,826,352,530,1179,987,738,230,500,1091,782
994,657,1158,352,530,1179,984,709,230,516,1091,550
978,610,1221,338,544,1179,936,697,230,513,1091,564
1049,580,1252,333,549,1087,834,628,230,513,1091,437
1086,667,1270,333,440,1196,659,622,224,461,1075,438
1304,588,1373,333,434,1202,625,591,224,461,1042,438
1243,546,1403,406,429,1207,565,601,225,460,1082,443
1240,497,1452,409,420,912,840,707,246,429,1059,445
1200,389,1500,509,420,871,881,706,258,429,1036,445
1199,367,1412,615,425,847,810,704,270,479,1021,445
1145,411,1394,592,476,751,899,801,229,518,817,445
1126,430,1362,624,447,771,907,914,239,593,650,445
1126,430,1362,624,446,772,906,930,239,726,549,443
1122,434,1306,680,446,767,903,1066,240,745,482,443
1108,448,1296,690,446,767,901,1066,431,746,440,434
1022,534,1296,690,446,767,901,1066,444,746,387,434
902,654,1296,690,446,716,952,988,339,666,348,434
873,683,1296,680,456,659,1009,830,427,605,339,434
866,690,1296,680,379,710,1035,775,433,609,279,406
884,694,1150,826,360,729,1035,720,417,526,273,361
830,748,1144,832,360,679,1028,732,446,558,273,342
775,803,1106,856,374,668,963,732,446,558,293,314
775,803,1106,855,375,590,974,777,446,555,293,312
763,815,1088,873,375,256,1304,880,446,555,273,312
776,815,1088,873,375,255,1268,999,442,555,292,312
835,793,1090,893,318,312,1267,1016,441,568,271,286
835,792,1047,937,318,312,1267,1042,464,568,271,267
914,790,1040,946,318,312,1267,1206,486,567,314,198
1079,722,1108,946,151,479,1267,1294,515,567,313,324
1071,746,1111,716,380,489,1223,1328,522,565,313,366
1087,780,1108,707,352,530,1179,1412,674,548,281,367
920,991,989,826,352,530,1179,1412,674,553,230,364
917,994,657,1158,352,530,1179,1429,675,543,235,262
917,978,610,1221,338,544,1179,1499,687,544,241,329
846,1049,580,1252,333,549,1087,1523,691,550,266,322
704,1086,667,1270,333,440,1196,1519,762,554,266,321
463,1304,588,1373,333,434,1202,1509,822,560,263,321
513,1243,546,1403,406,429,1207,1499,832,560,228,316
715,1240,497,1452,409,420,912,1315,817,573,168,317
786,1200,389,1500,509,420,871,1308,805,594,255,317
812,1199,367,1412,615,425,847,1281,793,529,251,317
863,1145,411,1394,592,476,751,1146,793,484,251,317
892,1126,430,1362,624,447,771,1031,783,369,251,317
1008,1126,430,1362,624,446,772,1008,783,236,251,317
1018,1122,434,1306,680,446,767,870,782,217,251,317
1018,1108,448,1296,690,446,767,920,591,216,251,317
1022,1022,534,1296,690,446,767,955,573,216,290,317
1055,902,654,1296,690,446,716,992,591,216,362,317
1231,873,683,1296,680,456,659,992,516,187,396,317
1254,866,690,1296,680,379,710,1207,510,190,443,317
1232,884,694,1150,826,360,729,1211,500,129,447,317
1251,830,748,1144,832,360,679,1219,634,106,447,317
1251,775,803,1106,856,374,668,1224,717,106,427,402
1256,775,803,1106,855,375,590,1179,721,162,427,438
1327,763,815,1088,873,375,256,1076,768,184,425,438
1358,776,815,1088,873,375,255,976,805,189,394,440
1299,835,793,1090,893,318,312,972,875,227,393,440
1306,835,792,1047,937,318,312,954,958,252,385,471
1233,914,790,1040,946,318,312,831,950,252,329,469
1068,1079,722,1108,946,151,479,740,1056,252,329,422
1040,1071,746,1111,716,380,489,706,1104,252,415,409
989,1087,780,1108,707,352,530,621,977,252,417,409
945,920,991,989,826,352,530,621,977,263,453,409
977,917,994,657,1158,352,530,604,976,265,517,410
1094,917,978,610,1221,338,544,534,964,318,526,282
1112,846,1049,580,1252,333,549,510,960,340,512,282
1112,704,1086,667,1270,333,440,510,889,342,529,282
1158,463,1304,588,1373,333,434,475,829,336,527,282
1108,513,1243,546,1403,406,429,475,818,336,523,285
917,715,1240,497,1452,409,420,475,815,323,523,282
852,786,1200,389,1500,509,420,475,823,302,436,282
888,812,1199,367,1412,615,425,475,846,302,435,282
930,863,1145,411,1394,592,476,475,856,302,435,282
927,892,1126,430,1362,624,447,475,915,342,435,282
811,1008,1126,430,1362,624,446,475,922,383,435,282
801,1018,1122,434,1306,680,446,469,922,383,443,282
803,1018,1108,448,1296,690,446,419,922,406,472,282
857,1022,1022,534,1296,690,446,384,922,470,515,282
825,1055,902,654,1296,690,446,347,877,476,446,282
696,1231,873,683,1296,680,456,347,906,476,412,283
673,1254,866,690,1296,680,379,132,906,460,514,284
685,1232,884,694,1150,826,360,128,906,463,510,284
674,1251,830,748,1144,832,360,107,736,455,510,284
674,1251,775,803,1106,856,374,102,653,564,510,202
669,1256,775,803,1106,855,375,102,682,568,510,287
598,1327,763,815,1088,873,375,102,635,545,542,299
716,1358,776,815,1088,873,375,83,598,551,563,326
724,1299,835,793,1090,893,318,136,528,500,569,370
730,1306,835,792,1047,937,318,107,520,475,569,518
747,1233,914,790,1040,946,318,66,517,475,571,525
747,1068,1079,722,1108,946,151,66,382,475,571,432
747,1040,1071,746,1111,716,380,66,327,545,523,403
747,989,1087,780,1108,707,352,90,302,568,538,402
747,945,920,991,989,826,352,92,317,559,503,402
715,977,917,994,657,1158,352,92,317,565,502,401
598,1094,917,978,610,1221,338,198,317,607,694,401
579,1112,846,1049,580,1252,333,279,427,590,892,405
579,1112,704,1086,667,1270,333,370,432,584,877,413
532,1158,463,1304,588,1373,333,370,432,584,877,413
532,1108,513,1243,546,1403,406,398,432,584,984,410
521,917,715,1240,497,1452,409,413,557,584,984,452
515,852,786,1200,389,1500,509,433,571,677,992,464
453,888,812,1199,367,1412,615,444,548,766,992,500
360,930,863,1145,411,1394,592,479,538,766,992,500
392,927,892,1126,430,1362,624,638,876,726,992,506
418,811,1008,1126,430,1362,624,724,869,685,992,574
423,801,1018,1122,434,1306,680,724,908,685,984,821
437,803,1018,1108,448,1296,690,762,959,662,955,1091
