Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,Accum_y-1
454,437,1480,963,1262,316,227,292,1654,860,676
454,437,1480,960,1265,316,224,290,1464,1055,734
454,437,1479,954,1260,312,221,309,1311,1208,753
446,445,1462,970,1238,252,272,341,1217,1302,753
315,551,1281,1165,1182,318,271,343,911,1608,723
335,551,1247,1083,1258,358,270,344,860,1659,723
323,604,1246,1084,1214,402,253,357,852,1671,723
322,605,1246,1084,1193,423,208,357,897,1669,698
349,608,1178,1152,1099,517,208,283,948,1690,663
418,608,1178,1152,1004,612,208,187,1015,1719,599
667,426,1360,1152,926,690,208,178,1006,1737,458
728,394,1392,1152,770,846,205,181,985,1758,458
763,395,1390,1154,701,915,200,186,967,1776,458
763,357,1375,1206,700,917,194,192,964,1779,458
699,421,1374,1207,700,917,194,183,973,1779,458
706,397,1398,1162,701,961,194,183,973,1778,458
767,396,1399,1159,704,961,194,183,968,1783,458
962,396,1399,1159,472,1193,194,183,925,1826,458
951,407,1402,877,754,1193,192,154,941,1841,443
986,296,1392,980,772,1186,198,155,904,1872,501
1014,290,1339,1038,695,1264,161,174,903,1883,505
1034,287,1340,961,708,1330,133,202,708,2057,478
1040,287,1197,1062,750,1330,133,202,653,2057,500
1040,281,1194,1071,748,1327,119,221,597,1690,490
1066,281,1191,1074,717,1358,119,221,380,1871,490
1184,281,1106,1159,717,1303,174,221,341,1902,237
1170,342,906,1215,819,1297,218,224,323,1787,239
1373,383,610,1508,822,1275,238,226,308,1792,229
1402,383,459,1592,889,1196,317,226,303,1719,229
1397,390,443,1614,889,1196,317,226,303,1719,229
1380,410,438,1609,857,1238,316,227,303,1715,229
1336,454,437,1480,963,1262,316,227,292,1654,245
1336,454,437,1480,960,1265,316,224,290,1464,270
1336,454,437,1479,954,1260,312,221,309,1311,251
1336,446,445,1462,970,1238,252,272,341,1217,251
1336,315,551,1281,1165,1182,318,271,343,911,251
1316,335,551,1247,1083,1258,358,270,344,860,251
1275,323,604,1246,1084,1214,402,253,357,852,255
1275,322,605,1246,1084,1193,423,208,357,897,279
1248,349,608,1178,1152,1099,517,208,283,948,279
1180,418,608,1178,1152,1004,612,208,187,1015,279
931,667,426,1360,1152,926,690,208,178,1006,279
882,728,394,1392,1152,770,846,205,181,985,283
896,763,395,1390,1154,701,915,200,186,967,295
896,763,357,1375,1206,700,917,194,192,964,295
896,699,421,1374,1207,700,917,194,183,973,295
1043,706,397,1398,1162,701,961,194,183,973,299
1121,767,396,1399,1159,704,961,194,183,968,310
947,962,396,1399,1159,472,1193,194,183,925,336
977,951,407,1402,877,754,1193,192,154,941,369
942,986,296,1392,980,772,1186,198,155,904,311
927,1014,290,1339,1038,695,1264,161,174,903,306
907,1034,287,1340,961,708,1330,133,202,708,293
901,1040,287,1197,1062,750,1330,133,202,653,271
990,1040,281,1194,1071,748,1327,119,221,597,270
964,1066,281,1191,1074,717,1358,119,221,380,269
846,1184,281,1106,1159,717,1303,174,221,341,268
799,1170,342,906,1215,819,1297,218,224,323,266
555,1373,383,610,1508,822,1275,238,226,308,266
526,1402,383,459,1592,889,1196,317,226,303,266
518,1397,390,443,1614,889,1196,317,226,303,266
515,1380,410,438,1609,857,1238,316,227,303,266
528,1336,454,437,1480,963,1262,316,227,292,207
528,1336,454,437,1480,960,1265,316,224,290,126
528,1336,454,437,1479,954,1260,312,221,309,124
544,1336,446,445,1462,970,1238,252,272,341,124
545,1336,315,551,1281,1165,1182,318,271,343,124
545,1316,335,551,1247,1083,1258,358,270,344,124
545,1275,323,604,1246,1084,1214,402,253,357,120
545,1275,322,605,1246,1084,1193,423,208,357,96
668,1248,349,608,1178,1152,1099,517,208,283,97
670,1180,418,608,1178,1152,1004,612,208,187,97
670,931,667,426,1360,1152,926,690,208,178,97
658,882,728,394,1392,1152,770,846,205,181,93
608,896,763,395,1390,1154,701,915,200,186,87
690,896,763,357,1375,1206,700,917,194,192,95
693,896,699,421,1374,1207,700,917,194,183,116
562,1043,706,397,1398,1162,701,961,194,183,167
504,1121,767,396,1399,1159,704,961,194,183,579
511,947,962,396,1399,1159,472,1193,194,183,589
478,977,951,407,1402,877,754,1193,192,154,564
491,942,986,296,1392,980,772,1186,198,155,698
478,927,1014,290,1339,1038,695,1264,161,174,708
497,907,1034,287,1340,961,708,1330,133,202,784
513,901,1040,287,1197,1062,750,1330,133,202,784
424,990,1040,281,1194,1071,748,1327,119,221,788
424,964,1066,281,1191,1074,717,1358,119,221,860
425,846,1184,281,1106,1159,717,1303,174,221,1055
573,799,1170,342,906,1215,819,1297,218,224,1208
693,555,1373,383,610,1508,822,1275,238,226,1302
778,526,1402,383,459,1592,889,1196,317,226,1608
936,518,1397,390,443,1614,889,1196,317,226,1659
937,515,1380,410,438,1609,857,1238,316,227,1671
925,528,1336,454,437,1480,963,1262,316,227,1669
989,528,1336,454,437,1480,960,1265,316,224,1690
1032,528,1336,454,437,1479,954,1260,312,221,1719
1146,544,1336,446,445,1462,970,1238,252,272,1737
1162,545,1336,315,551,1281,1165,1182,318,271,1758
1162,545,1316,335,551,1247,1083,1258,358,270,1776
1289,545,1275,323,604,1246,1084,1214,402,253,1779
1352,545,1275,322,605,1246,1084,1193,423,208,1779
1460,668,1248,349,608,1178,1152,1099,517,208,1778
1491,670,1180,418,608,1178,1152,1004,612,208,1783
1493,670,931,667,426,1360,1152,926,690,208,1826
1533,658,882,728,394,1392,1152,770,846,205,1841
1533,608,896,763,395,1390,1154,701,915,200,1872
1452,690,896,763,357,1375,1206,700,917,194,1883
